Gene_set	Term	Overlap	P-value	Adjusted P-value	Genes
CUSTOM140271461204224	KEGG_ALLOGRAFT_REJECTION	1/37	0.06486201595778122	0.16663974661631373	HLA-B
CUSTOM140271461204224	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	1/69	0.11765037788418398	0.19472107482884615	SERPINA1
CUSTOM140271461204224	KEGG_FOCAL_ADHESION	1/199	0.3038902040336392	0.37986275504204897	SPP1
CUSTOM140271461204224	KEGG_GRAFT_VERSUS_HOST_DISEASE	1/40	0.06993832600399603	0.16663974661631373	HLA-B
CUSTOM140271461204224	KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	1/48	0.08334474566997435	0.1666894913399487	PIGR
CUSTOM140271461204224	KEGG_MAPK_SIGNALING_PATHWAY	1/263	0.3809534126363724	0.40100359224881305	MAP3K20
CUSTOM140271461204224	KEGG_TYPE_I_DIABETES_MELLITUS	1/43	0.07498788597734118	0.16663974661631373	HLA-B
CUSTOM140271461204224	NABA_ECM_REGULATORS	1/222	0.33259994560125744	0.3912940536485382	SERPINA1
CUSTOM140271461204224	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	3/715	0.1380246638152921	0.19717809116470303	HLA-B;IFIT3;MT2A
CUSTOM140271461204224	REACTOME_HEMOSTASIS	1/637	0.6906926342673777	0.6906926342673777	SERPINA1
CUSTOM140271461204224	REACTOME_INFECTIOUS_DISEASE	4/876	0.07191015742788394	0.16663974661631373	H2BU1;NCBP1;GSK3A;CHMP2B
CUSTOM140271461204224	REACTOME_INNATE_IMMUNE_SYSTEM	7/1043	0.0022843833279788633	0.02284383327978863	SURF4;SERPINA1;HLA-B;PGM2;ATP11B;PIGR;IFIH1
CUSTOM140271461204224	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	2/73	0.007703800728572379	0.03851900364286189	HLA-B;IFIT3
CUSTOM140271461204224	REACTOME_INTERFERON_SIGNALING	3/202	0.005728381042350266	0.038189206949001776	HLA-B;IFIT3;MT2A
CUSTOM140271461204224	REACTOME_MEMBRANE_TRAFFICKING	3/628	0.10370158042307534	0.18854832804195515	SERPINA1;SURF4;CHMP2B
CUSTOM140271461204224	REACTOME_METALLOTHIONEINS_BIND_METALS	1/10	0.017948575399137363	0.07179430159654945	MT2A
CUSTOM140271461204224	REACTOME_NEUTROPHIL_DEGRANULATION	6/471	0.00017779512439896123	0.0035559024879792244	SURF4;SERPINA1;HLA-B;PGM2;ATP11B;PIGR
CUSTOM140271461204224	REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	1/260	0.3775338291096688	0.40100359224881305	SERPINA1
CUSTOM140271461204224	REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	4/1393	0.24244178481381345	0.3232557130850846	H2BU1;SERPINA1;IFIH1;SPP1
CUSTOM140271461204224	REACTOME_VESICLE_MEDIATED_TRANSPORT	3/687	0.12656869863875	0.19472107482884615	SERPINA1;SURF4;CHMP2B
